CIK#,Ticker,Subsidiaries
100493,tsn,Cobb-Russia LLC
100493,tsn,"OOO Broiler Budeshego (Broiler of the Future, LLC)"
100493,tsn,"Cobb-Vantress Philippines, Inc.
(99.99% owned by Cobb-Vantress, Inc.; .01% owned by 7 individuals)"
100493,tsn,"C.V. Holdings, Inc."
1012100,see,"AFPTOH, LTD"
1012100,see,Air Ride Pallets Hong Kong Limited
1012100,see,"Austin Foam Plastics, Inc. (dba AFP, Inc.)"
1012100,see,B+ Equipment SAS
1012100,see,"Beacon Holdings, LLC"
1012100,see,"Cactus (Shanghai) Trading Co., Ltd."
1012100,see,Cryovac (Malaysia) SDN. BHD
1012100,see,Cryovac Brasil Ltda.
1012100,see,"Cryovac Holdings II, LLC"
1012100,see,Cryovac International Holdings Inc.
1012100,see,Cryovac Londrina Ltda.
1012100,see,"Cryovac, LLC*"
1012100,see,Cryovac-Sealed Air de Costa Rica S.R.L.
1012100,see,Diversey J Trustee Limited
1012100,see,Diversey Trustee Limited
1012100,see,Entapack Pty. Ltd.
1012100,see,"Fagerdala (Chengdu) Packaging Co., Ltd"
1012100,see,Fagerdala (Shanghai) Foams Co. Ltd.
1012100,see,Fagerdala (Shanghai) Polymer Co. Ltd.
1012100,see,Fagerdala (Suzhou) Packaging Co. Ltd.
1012100,see,Fagerdala (Thailand) Limited
1012100,see,Fagerdala (Xiamen) Packaging Co. Ltd.
1012100,see,Fagerdala Leamchabung Limited
1012100,see,Fagerdala Malaysia Sdn Bhd
1012100,see,Fagerdala Mexico S.A. De C.V.
1012100,see,Fagerdala Mexico Supply Chain S.A. De C.V.
1012100,see,Fagerdala Singapore Pte Ltd
1012100,see,Foxpak Flexibles Ltd.
1012100,see,"Getpacking.com, GmbH"
1012100,see,Invertol S. de R.L. de C.V.
1012100,see,JSC Sealed Air Kaustik
1012100,see,Kevothermal Limited
1012100,see,Kevothermal LLC
1012100,see,KRIS Automated Packaging Systems Holding Company
1012100,see,"LB Holdco, Inc."
1012100,see,"LB Parent, Inc."
1012100,see,"Liqui-Box Holdings, Inc."
1012100,see,"Liqui-Box, Inc."
1012100,see,Liqui-Box US Inc.
1012100,see,Liqui-Box Corporation
1012100,see,Liqui-Box US-UK LLC
1012100,see,"Liqui-Box, L.P."
1012100,see,Liqui-Box Packaging Private Limited
1012100,see,Liqui-Box B.V.
1012100,see,Liqui-Box (PTY) Ltd.
1012100,see,Liqui-Box Spain S.L.U.
1012100,see,Liqui-Box UK Limited
1012100,see,LB Europe Limited
1012100,see,0927016 B.C. Unlimited Liability Company
1012100,see,0927021 B.C. Unlimited Liability Company
1012100,see,0927165 B.C. ULC
1012100,see,Liqui-Box Canada Partnership
1012100,see,Liqui-Box Canada ULC
1012100,see,Liqui-Box Mexico S.A. de C.V.
1012100,see,LB Productos S.A. de C.V.
1012100,see,LB Slovakia Holdco Limited
1012100,see,LB Slovakia Plastics s.r.o.
1012100,see,Liqui-Box Germany GmbH
1012100,see,Liqui-Box Bulgaria EAD
1012100,see,Liqui-Box Asia Pacific Limited
1012100,see,Liqui-Box (Thailand) Limited
1012100,see,Liqui-Box Packaging Products (Taizhou) Co. Ltd.
1012100,see,Pack-Tiger GmbH
1012100,see,"Producembal- Producao de Embalagens, LTDA"
1012100,see,Saddle Brook Insurance Company
1012100,see,Sealed Air (Barbados) S.R.L.
1012100,see,Sealed Air (Canada) Co./CIE
1012100,see,Sealed Air (Canada) Holdings B.V.
1012100,see,Sealed Air (China) Limited
1012100,see,Sealed Air (China) Co. Ltd.
1012100,see,Sealed Air (Korea) Limited
1012100,see,"Sealed Air (Latin America) Holdings II, LLC"
1012100,see,Sealed Air (Malaysia) SDN. BHD.
1012100,see,Sealed Air (New Zealand)
1012100,see,Sealed Air (Philippines) Inc.
1012100,see,Sealed Air (Singapore) Pte. Limited
1012100,see,Sealed Air (Ukraine) Limited
1012100,see,Sealed Air Africa (Pty.) Limited
1012100,see,Sealed Air Americas Manufacturing S. de R.L. de C.V.
1012100,see,Sealed Air Argentina S.A.
1012100,see,Sealed Air Australia (Holdings) Pty. Limited
1012100,see,Sealed Air Australia Pty. Limited
1012100,see,Sealed Air Australia Real Estate Pty Ltd
1012100,see,Sealed Air B.V.
1012100,see,Sealed Air Belgium N.V.
1012100,see,"Sealed Air Central America, S.A."
1012100,see,Sealed Air Chile SpA
1012100,see,Sealed Air Colombia Ltda.
1012100,see,Sealed Air Corporation (US)
1012100,see,Sealed Air Cyprus Ltd.
1012100,see,"Sealed Air de Mexico Operations, S. de RL. de C.V."
1012100,see,"Sealed Air de Venezuela, S.A."
1012100,see,Sealed Air Denmark A/S
1012100,see,Sealed Air Finance Luxembourg S.a.r.l.
1012100,see,Sealed Air Funding LLC
1012100,see,Sealed Air General Trading LLC
1012100,see,Sealed Air GmbH
1012100,see,Sealed Air GmbH
1012100,see,Sealed Air Hellas SA
1012100,see,Sealed Air Holding France SAS
1012100,see,Sealed Air Holdings (New Zealand) Pty. Ltd.
1012100,see,Sealed Air Holdings South Africa Proprietary Limited
1012100,see,Sealed Air Holdings UK Limited
1012100,see,Sealed Air Holdings UK I Limited
1012100,see,Sealed Air Hong Kong Limited
1012100,see,Sealed Air Hungary Ltd.
1012100,see,"Sealed Air Investment and Management (Shanghai) Co., Ltd."
1012100,see,Sealed Air Japan G.K.
1012100,see,Sealed Air Limited
1012100,see,Sealed Air Limited
1012100,see,Sealed Air LLC
1012100,see,Sealed Air Luxembourg S.a.r.l.
1012100,see,Sealed Air Netherlands (Holdings) II B.V.
1012100,see,Sealed Air Norge AS
1012100,see,Sealed Air OY
1012100,see,"Sealed Air Packaging (Shanghai) Co., Limited"
1012100,see,"Sealed Air Packaging (Thailand) Co., Ltd."
1012100,see,Sealed Air Packaging Materials (India) LLP
1012100,see,Sealed Air Packaging S.L.U.
1012100,see,Sealed Air Peru S.A.C.
1012100,see,Sealed Air Polska Sp. Zoo
1012100,see,Sealed Air Pty Ltd. (formerly Blue Dot Packaging Pty Ltd)
1012100,see,Sealed Air S.r.l.
1012100,see,Sealed Air s.r.o.
1012100,see,Sealed Air S.A S.
1012100,see,Sealed Air South Africa (Pty.) Ltd.
1012100,see,Sealed Air Svenska AB
1012100,see,Sealed Air Taiwan Limited
1012100,see,Sealed Air UK Limited Partnership
1012100,see,Sealed Air Uruguay S.A.
1012100,see,"Sealed Air US Holdings (Thailand), LLC"
1012100,see,Sealed Air Verpackungen GmbH
1012100,see,Sealed Air Vietnam Company Limited
1012100,see,Shanklin Corporation
1012100,see,"TXAFP Asia Pacific, Ltd."
1012100,see,TXAFP GP LLC
1017491,seel,"Apricus Pharmaceuticals USA, Inc."
1017491,seel,"NexMed Holdings, Inc."
1017491,seel,NexMed International Limited
1017491,seel,Seelos Corporation
1017491,seel,Seelos Therapeutics Australia Pty Ltd
102037,uvv,"Aviation and Regional Services, Ltd."
102037,uvv,"B.V. Beleggings- en Beheermaatschappij ""De Amstel"""
102037,uvv,CA Bautz GmbH
102037,uvv,"Carolina Innovative Food Ingredients, Inc."
102037,uvv,"Carolina Recycled Ag Materials, LLC"
102037,uvv,"Casa Export, Limited"
102037,uvv,Commonwealth Leaf Trading Company Pte. Ltd.
102037,uvv,Continental Tobacco S.A. 
102037,uvv,"Deltafina, S.r.l. "
102037,uvv,Deutsch-hollandische Tabakgesellschaft mbH & Co. K.G.
102037,uvv,EC Wrapper LLC
102037,uvv,Ermor Tabarama-Tabacos do Brasil Ltda. 
102037,uvv,"FruitSmart, Inc."
102037,uvv,Gebrueder Kulenkampff GmbH
102037,uvv,"Global Laboratory Services, Inc."
102037,uvv,HTL-DHT B.V.
102037,uvv,"Inetab-Kaubeck, SRL"
102037,uvv,"J.P. Taylor Company, L.L.C."
102037,uvv,"LAgricola, S.r.l. "
102037,uvv,"Lancaster Leaf Tobacco Company of Pennsylvania, Inc. "
102037,uvv,Limbe Leaf Tobacco Company Limited
102037,uvv,"Mozambique Leaf Tobacco, Limitada"
102037,uvv,"Procesadora Unitab, S.A."
102037,uvv,PT Tempu Rejo
102037,uvv,"Silva International, Inc."
102037,uvv,"Shank's Extracts, LLC"
102037,uvv,Tabacalera San Fernando S.R.L.
102037,uvv,"Tabacos Del Pacifico Norte, S.A. De C.V. "
102037,uvv,"TAES, S.L."
102037,uvv,ULT Support Services India Private Ltd.
102037,uvv,"Ultoco, S.A."
102037,uvv,Ultoco Limited
102037,uvv,"Ultoco Services, S.A."
102037,uvv,"Universal Finance, Inc."
102037,uvv,"Universal Global Ventures, Incorporated"
102037,uvv,"Universal Innovations Corporation, Inc."
102037,uvv,Universal Leaf (Asia) Pte Ltd.
102037,uvv,"Universal Leaf Canada, Inc."
102037,uvv,Universal Leaf Far East Ltd.
102037,uvv,ULG Universal Leaf Germany GmbH
102037,uvv,"Universal Leaf North America U. S., Inc. "
102037,uvv,"Universal Leaf Philippines, Inc."
102037,uvv,Universal Leaf South Africa (Pty) Limited
102037,uvv,Universal Leaf Tabacos Ltda.
102037,uvv,"Universal Leaf Tobacco Company, Inc."
102037,uvv,Universal Leaf Tobacco Hungary Private Limited Company
102037,uvv,"Universal Leaf Tobacco International, Inc."
102037,uvv,Universal Leaf Tobacco Poland Sp. z o.o. 
102037,uvv,"Virginia Tobacco Company, Inc."
102037,uvv,Zimleaf Holdings (Private) Limited
102037,uvv,Zimbabwe Leaf Tobacco Company (Private) Limited
1022079,dgx,100%  Quest Diagnostics do Brasil Ltda. 
1022079,dgx,100% Quest Diagnostics Incorporated 
1022079,dgx,100%  Quest Diagnostics India Private Limited 
1022079,dgx,100%  Quest Diagnostics International LLC 
1022079,dgx,100% Quest Diagnostics Investments LLC  
1022079,dgx,100% Quest Diagnostics LLC 
1022079,dgx,100% Quest Diagnostics LLC 
1022079,dgx,100% Quest Diagnostics LLC 
1022079,dgx,"100%  Quest Diagnostics Mexico, S de RL de CV "
1022079,dgx,100% Quest Diagnostics Nichols Institute 
1022079,dgx,100% Quest Diagnostics of Pennsylvania Inc. 
1022079,dgx,100% Quest Diagnostics Receivables Inc. 
1022079,dgx,"100%  Quest Diagnostics TB, LLC "
1022079,dgx,"100%  Athena Diagnostics, Inc. "
1022079,dgx,"100%  American Medical Laboratories, Incorporated "
1022079,dgx,100%  Blueprint Genetics Inc. 
1022079,dgx,100%  Blueprint Genetics Oy 
1022079,dgx,"100%  Cleveland HeartLab, Inc. "
1022079,dgx,"100%   Isabella Street Urban Renewal, LLC "
1022079,dgx,"100%  Med Fusion, LLC "
1022079,dgx,"100% Reprosource Fertility Diagnostics, Inc. "
1022079,dgx,100%  Unilab Corporation 
1022079,dgx,"100%  AmeriPath, Inc. "
1022079,dgx,Additional Entities Consolidated for Accounting Purposes
1022079,dgx,"AmeriPath Indianapolis, PC "
1022079,dgx,"Colorado Pathology Consultants, P.C. "
1022079,dgx,"Dermatopathology of Wisconsin, S.C. "
1022079,dgx,"Hoffman, M.D., Associated Pathologists, Chartered "
1022079,dgx,"Kilpatrick Pathology, P.A. "
1022079,dgx,"PhenoPath Laboratories, PLLC "
1035354,elox,Eloxx Pharmaceuticals (AUS) Pty Ltd.
1035354,elox,"Zikani Therapeutics, Inc."
103595,vlgea,"Village Super Market of NJ, LP"
103595,vlgea,"Hanover and Horsehill Development, LLC"
103595,vlgea,"Greater Morristown Restaurant, LLC"
103595,vlgea,"VSM New Markets, LLC"
103595,vlgea,Delilah Properties LLC
103595,vlgea,Fire Brands Innovation LLC
103595,vlgea,Washington Asbury LLC
103595,vlgea,Village Galloway Shopping Center LLC
103595,vlgea,Route 31 South RNR Partners LLC
103595,vlgea,Hillsborough RB LLC
103595,vlgea,Village Galloway Two LLC
103595,vlgea,Village Old Bridge LLC
103595,vlgea,Village Vineland 3600 Landis LLC
103595,vlgea,Village Jake Brown LLC
103595,vlgea,501 East Jimmie Leeds Road LLC
103595,vlgea,"Village Super Market of Maryland, LLC "
103595,vlgea,"Village Super Market of NY, LLC, "
103595,vlgea,"VSM Gourmet, LLC, "
103595,vlgea,"VSM NY Holdings LLC, "
103595,vlgea,VSM NY Distribution Center LLC 
103595,vlgea,VSM NY LLC
1039065,osis,American Science and Engineering Global de Mexico S. de R.L. de C.V.
1039065,osis,"American Science and Engineering, Inc."
1039065,osis,"AS&E Europe, B.V."
1039065,osis,"AS&E Global, Inc."
1039065,osis,"Control de Accessos y Sequridad Privada Gatekeeper, S. de R.L. de C.V."
1039065,osis,"Control Insights, LLC"
1039065,osis,CXR Limited
1039065,osis,ECIL-Rapiscan Security Products Limited
1039065,osis,Foamhand Limited
1039065,osis,Foamhand Limited
1039065,osis,Gatekeeper Inc.
1039065,osis,Gatekeeper Inspection Technologies LLC
1039065,osis,Gatekeeper Intelligent Security PTE LTD
1039065,osis,Gatekeeper Security Middle East FTZ
1039065,osis,"Global International Holding, Inc."
1039065,osis,Herbert Systems Limited
1039065,osis,Lenview Limited
1039065,osis,Lenview Property Development (Biddulph) Limited
1039065,osis,"OSI Billerica Holdings, LLC"
1039065,osis,"OSI Electronics de Mexico, S.A. de C.V."
1039065,osis,"OSI Electronics, Inc."
1039065,osis,OSI Electronics Pte Ltd.
1039065,osis,OSI Electronics Sdh. Bhd.
1039065,osis,OSI Electronics (UK) Ltd.
1039065,osis,OSI (Holdings) Company Limited
1039065,osis,OSI Investment Egypt For Trading LLC
1039065,osis,"OSI Laser Diode, Inc."
1039065,osis,"OSI Optoelectronics, Inc."
1039065,osis,OSI Optoelectronics Limited
1039065,osis,OSI Optoelectronics Sdn. Bhd.
1039065,osis,"OSI Solutions, Inc."
1039065,osis,OSI Systems Private Limited
1039065,osis,OSIE (Holdings) Company Limited
1039065,osis,PFC Flexible Circuits Limited
1039065,osis,Prima Electronic Services Limited
1039065,osis,PT OSI Electronics
1039065,osis,PT OSI Systems
1039065,osis,Quadratica (UK) Limited
1039065,osis,Quadratica Training Limited
1039065,osis,RAGGI-X ManutenÃ§Ã£o em Equipamentos ElectrÃ´nicos LTDA-ME
1039065,osis,Rapiscan Australia Pty Ltd
1039065,osis,"Rapiscan Government Services, Inc."
1039065,osis,"Rapiscan Holdings, Inc."
1039065,osis,"Rapiscan Laboratories, Inc."
1039065,osis,Rapiscan Mexico Holdings LLC
1039065,osis,Rapiscan Services Egypt LLC
1039065,osis,Rapiscan Systems Canada Inc.
1039065,osis,Rapiscan Systems (Cyprus) Limited
1039065,osis,Rapiscan Systems Electrical Trading LLC
1039065,osis,Rapiscan Systems GmbH
1039065,osis,Rapiscan Systems Hong Kong Limited
1039065,osis,"Rapiscan Systems, Inc."
1039065,osis,Rapiscan Systems Limited
1039065,osis,Rapiscan Systems New Zealand
1039065,osis,Rapiscan Systems Mexico S. de R.L. de C.V.
1039065,osis,Rapiscan Systems Private Limited
1039065,osis,Rapiscan Systems (Private) Limited
1039065,osis,Rapiscan Systems Pte. Ltd.
1039065,osis,Rapiscan Systems Pty Ltd
1039065,osis,Rapiscan Systems Sdn. Bhd.
1039065,osis,Rapiscan Systems Turkmen
1039065,osis,"Rapiscan Systems, S.A. de C.V."
1039065,osis,"Rapiscan Systems, Unipessoal LDA."
1039065,osis,S2 Airport Services S. de R.L. de C.V.
1039065,osis,S2 Albania Sh.p.k.
1039065,osis,"S2 Event Security, LLC"
1039065,osis,S2 Global Ecuador S.A.S.
1039065,osis,S2 Global Healthcare S. de R.L. de C.V.
1039065,osis,"S2 Global, Inc."
1039065,osis,S2 Global SAL
1039065,osis,S2 Global Screening Solutions Sociedad Anonima
1039065,osis,S2 Muscat LLC
1039065,osis,S2 Screening Solutions S. de R.L. de C.V.
1039065,osis,S2 Secure Albania SH.P.K.
1039065,osis,"S2 Services, Ltd."
1039065,osis,"S2 Services Puerto Rico, LLC"
1039065,osis,SL Healthcare Limited
1039065,osis,"Spacelabs Healthcare (Canada), Inc."
1039065,osis,Spacelabs Healthcare GmbH
1039065,osis,"Spacelabs Healthcare, Inc."
1039065,osis,"Spacelabs Healthcare, LLC"
1039065,osis,Spacelabs Healthcare Ltd.
1039065,osis,Spacelabs Healthcare Pte. Ltd.
1039065,osis,Spacelabs Healthcare SAS
1039065,osis,Spacelabs Healthcare s.r.l.
1039065,osis,"Spacelabs Healthcare Services, LLC"
1039065,osis,"Spacelabs Holdings, Inc."
104169,wmt,Wal-Mart Property Company
104169,wmt,Wal-Mart Real Estate Business Trust
104169,wmt,ASDA Group Limited
1041803,psmt,"GolfPark Plaza, S.A."
1041803,psmt,"PriceSmart (Guatemala), S.A."
1041803,psmt,"PSMT Caribe, Inc."
1041803,psmt,"PriceSmart El Salvador, S.A. de C.V."
1041803,psmt,"Prismar de Costa Rica, S.A."
1041803,psmt,"Plaza Price Alajuela PPA, S.A."
1041803,psmt,"PriceSmart Honduras, S.A. de C.V."
1041803,psmt,"PriceSmart Dominicana, S.R.L."
1041803,psmt,PriceSmart Exempt SRL
1041803,psmt,PSMT Trinidad/Tobago Limited
1041803,psmt,PriceSmart Realty (TT) Limited
1041803,psmt,PriceSmart Clubs (TT) Limited
1041803,psmt,"PSMT, LLC"
1041803,psmt,"PriceSmart Holdings, Inc."
1041803,psmt,"PSMT (Barbados), Inc."
1041803,psmt,"Island Foods and Distributors, N.V."
1041803,psmt,"PriceSmart Jamaica (SL), Inc."
1041803,psmt,PriceSmart (Jamaica) Limited
1041803,psmt,PriceSmart Realty (Jamaica) Limited
1041803,psmt,"PS Exportadora Latinoamericana, S.A. de CV."
1041803,psmt,"PSMT Nicaragua (BVI), Inc"
1041803,psmt,"PSMT Nicaragua, S.A."
1041803,psmt,"Inmobiliaria PSMT Nicaragua, S.A."
1041803,psmt,PriceSmart Colombia SAS
1041803,psmt,"PSCR Exportadora, S.A."
1041803,psmt,PriceSmart Latinoamerica SL
1041803,psmt,"AP Marketplace IP, LLC"
10456,bax,Baxter Healthcare Corporation
10456,bax,Baxter Pharmaceutical Solutions LLC
10456,bax,Baxter Sales and Distribution LLC
10456,bax,"Cheetah Medical, Inc."
10456,bax,"Gambro Renal Products, Inc."
10456,bax,"Gambro UF Solutions, Inc."
10456,bax,"Hill-Rom Holdings, Inc"
10456,bax,Laboratorios Baxter S.A.
10456,bax,"Synovis Life Technologies, Inc."
10456,bax,"Synovis Micro Companies Alliance, Inc."
10456,bax,Baxter Healthcare Pty Ltd
10456,bax,Baxter Belgium SPRL
10456,bax,Baxter Distribution Center Europe SA
10456,bax,Baxter R and D Europe SPRL
10456,bax,Baxter SA
10456,bax,Baxter Services Europe SA
10456,bax,Baxter World Trade SPRL
10456,bax,Baxter Hospitalar Ltda.
10456,bax,Baxter Corporation (Canada)
10456,bax,"Baxter (China) Investment Co., Ltd"
10456,bax,Baxter Healthcare (Guangzhou) Company Ltd
10456,bax,Baxter Healthcare (Shanghai) Company Ltd.
10456,bax,Baxter Healthcare (Suzhou) Company Ltd
10456,bax,"Baxter Healthcare (Tianjin) Co., Ltd."
10456,bax,"Baxter Healthcare Trading (Shanghai) Co., Ltd."
10456,bax,RTS Colombia SAS
10456,bax,"Baxter Productos Medicos, Ltda."
10456,bax,Baxter S.A.S.
10456,bax,Gambro Industries SAS
10456,bax,Baxter Deutschland GmbH
10456,bax,Baxter Oncology GmbH
10456,bax,Gambro Dialysatoren GmbH
10456,bax,Baxter (Hellas) EPE
10456,bax,"Baxter de Guatemala, Sociedad Anonima"
10456,bax,"Baxter Healthcare Limited (Hong Kong, China)"
10456,bax,Baxter (India) Private Limited
